group_keyword,group_sentence_1,video_id,youtube,school_zh,school_total_videos,township_slug,township_total_videos,decision,reason
seed (n),the students are planting bean seeds.,Eb24C0SItYo,https://www.youtube.com/watch?v=Eb24C0SItYo,彰化縣福興鄉永豐國小,60,fuxing,143,DROP,dropped: same as txLXjkD41pg (彰化縣彰化市東芳國小)
table tennis,the students practice playing table tennis.,bc0kUpgtkc8,https://www.youtube.com/watch?v=bc0kUpgtkc8,彰化縣鹿港鎮頂番國小,19,lukang,114,KEEP,kept: smallest school count (19 videos)
table tennis,the students practice playing table tennis.,EZyzIVIXtqQ,https://www.youtube.com/watch?v=EZyzIVIXtqQ,彰化縣二林鎮二林國小,55,erlin,114,DROP,dropped: same as bc0kUpgtkc8 (彰化縣鹿港鎮頂番國小)
read (v),the student chooses a book to read.,6F8vq4d2KoU,https://www.youtube.com/watch?v=6F8vq4d2KoU,彰化縣社頭鄉朝興國小,24,shetou,95,KEEP,kept: smallest school count (24 videos)
read (v),the student chooses a book to read.,BQNK2LtMM50,https://www.youtube.com/watch?v=BQNK2LtMM50,彰化縣彰化市快官國小,32,changhua-city,387,DROP,dropped: same as 6F8vq4d2KoU (彰化縣社頭鄉朝興國小)
read (v),the student chooses a book to read.,OnOIrIBAsLE,https://www.youtube.com/watch?v=OnOIrIBAsLE,彰化縣埔心鄉太平國小,34,puxin,40,DROP,dropped: same as 6F8vq4d2KoU (彰化縣社頭鄉朝興國小)
class dismissal,the students line up outside for class dismissal.,28fWiWD7pq8,https://www.youtube.com/watch?v=28fWiWD7pq8,彰化縣和美鎮新庄國小,25,hemei,99,KEEP,kept: smallest school count (25 videos)
class dismissal,the students line up outside for class dismissal.,FS59uvTmoKY,https://www.youtube.com/watch?v=FS59uvTmoKY,彰化縣福興鄉永豐國小,60,fuxing,143,DROP,dropped: same as 28fWiWD7pq8 (彰化縣和美鎮新庄國小)
class dismissal,the students line up outside for class dismissal.,gACeLZNVPgo,https://www.youtube.com/watch?v=gACeLZNVPgo,彰化縣田中鎮三潭國小,92,tianzhong,271,DROP,dropped: same as 28fWiWD7pq8 (彰化縣和美鎮新庄國小)
class dismissal,the students line up outside for class dismissal.,xYLLpfzQOIU,https://www.youtube.com/watch?v=xYLLpfzQOIU,彰化縣伸港鄉大同國小,105,shenkang,149,DROP,dropped: same as 28fWiWD7pq8 (彰化縣和美鎮新庄國小)
drumstick (n),the performers are using wooden drumsticks to beat the drums.,YzBH8LqCYJo,https://www.youtube.com/watch?v=YzBH8LqCYJo,彰化縣和美鎮和美國小,22,hemei,99,KEEP,kept: smallest school count (22 videos)
drumstick (n),the performers are using wooden drumsticks to beat the drums.,CF876RS5atc,https://www.youtube.com/watch?v=CF876RS5atc,彰化縣員林市饒明國小,83,yuanlin-city,164,DROP,dropped: same as YzBH8LqCYJo (彰化縣和美鎮和美國小)
worksheet (n),in class the students get ready for their storytelling event by filling out a worksheet.,62SNSPN_hXA,https://www.youtube.com/watch?v=62SNSPN_hXA,彰化縣竹塘鄉土庫國小,35,zhutang,183,KEEP,kept: smallest school count (35 videos)
worksheet (n),in class the students get ready for their storytelling event by filling out a worksheet.,29Afk_x_JSk,https://www.youtube.com/watch?v=29Afk_x_JSk,彰化縣伸港鄉大同國小,105,shenkang,149,DROP,dropped: same as 62SNSPN_hXA (彰化縣竹塘鄉土庫國小)
storytelling contest,the students participate in a storytelling contest.,YbDsQti6qZc,https://www.youtube.com/watch?v=YbDsQti6qZc,彰化縣溪州鄉溪州國小,61,xizhou,226,KEEP,kept: smallest school count (61 videos)
storytelling contest,the students participate in a storytelling contest.,G_0RgcTtffM,https://www.youtube.com/watch?v=G_0RgcTtffM,彰化縣員林市饒明國小,83,yuanlin-city,164,DROP,dropped: same as YbDsQti6qZc (彰化縣溪州鄉溪州國小)
write (v),the students write in their workbooks.,5vRUQv4sQ1w,https://www.youtube.com/watch?v=5vRUQv4sQ1w,彰化縣彰化市快官國小,32,changhua-city,387,KEEP,kept: smallest school count (32 videos)
write (v),the students write in their workbooks.,tSkChUavozg,https://www.youtube.com/watch?v=tSkChUavozg,彰化縣溪湖鎮湖西國小,38,xihu,40,DROP,dropped: same as 5vRUQv4sQ1w (彰化縣彰化市快官國小)
